campaign_id,allocation_patch_id,simulation_semantics_id,run_id,condition_key,policy_configuration,robot_count,order_rate,replication,seed,stage_first_requested,status,termination_reason,source_machine_id,repo_commit,error_type,error_message,simulated_ticks,simulated_seconds,orders_generated,orders_completed,order_lines_completed,order_throughput,average_order_cycle_time,maximum_order_cycle_time,pile_on,pod_visit_picking,pod_visit_replenishment,pod_utilization,total_robot_distance,loaded_robot_distance,empty_robot_distance,robot_distance_per_order,robot_idle_time,robot_cycle_time,stop_and_go_count,turning_count,average_job_queue,peak_job_queue,congestion_detected,replenishment_count,replenishment_trips,replenishment_action_completed_count,replenishment_pick_ratio,total_energy_kj,average_energy,energy_efficiency,total_fixed_load_energy,energy_efficiency_fixed,max_station_assignment_share,station_imbalance_ratio,machine_id,kpi_schema_version,kpi_complete,rts_checkpoint_id,rts_checkpoint_sha256,pps_model_sha256,scenario_hash,layout_hash,rts_metadata_canonical_sha256,rts_feature_schema_canonical_sha256,charging_config_canonical_sha256
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep001__b357bcbaeaba,all_off|robots=10|order_rate=400|rep=1,all_off,10,400,1,42,1,success,maximum_horizon,citi_gojira,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,617,1315,25.53103448275862,405.71799027552674,6483.0,19.84035759897829,783,19,6.628099173553719,47368.102500007946,39270.4649999975,8097.637500000098,76.77164100487512,1203.45,147.83533501875186,13620,10058,4.79643275862069,32,False,87,19,19,0.024265644955300127,16861.648853332048,1686.164885333205,0.03659191371892874,0.0,0.0,0.3857374392220421,1.3370786516853932,citi_gojira,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep002__e4fa7cdd9caf,all_off|robots=10|order_rate=400|rep=2,all_off,10,400,2,43,4,success,maximum_horizon,win_admin,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,1985,3798,82.13793103448276,389.86498740554157,8979.0,23.403217697335343,1989,86,17.14876033057851,121922.50500005037,102308.22000005841,19614.28499999924,61.42191687659968,159582.30000000002,158.05413043541895,36014,26660,4.454387931034483,33,False,585,86,86,0.043237807943690296,41554.87373966631,4155.487373966631,0.04776816342736744,0.0,0.0,0.3602015113350126,1.2654867256637168,win_admin,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep003__837d291177cf,all_off|robots=10|order_rate=400|rep=3,all_off,10,400,3,44,4,success,maximum_horizon,win_admin,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,1980,3778,81.93103448275862,355.8651515151515,5744.0,21.51386994088222,2199,111,19.09090909090909,248868.04500104603,226808.77500103426,22059.26999999908,125.69093181871011,446121.3,151.3257037685519,39964,30207,4.917846551724138,32,False,722,111,111,0.0504774897680764,59625.418351071094,5962.541835107109,0.03320731417500288,0.0,0.0,0.3717171717171717,1.3072824156305507,win_admin,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep004__ff17b89751bb,all_off|robots=10|order_rate=400|rep=4,all_off,10,400,4,45,4,success,maximum_horizon,win_admin,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,2665,5294,110.27586206896551,311.3984990619137,9485.0,18.783910196445277,3207,175,27.950413223140497,328958.595001108,296866.3275012501,32092.26749999858,123.43662101354897,258259.49999999997,146.52776627310908,59005,45209,6.166341379310345,31,False,1356,175,175,0.0545681322107889,97705.91323299217,9770.591323299217,0.027275728887001638,0.0,0.0,0.38649155722326456,1.619496855345912,win_admin,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep005__6d0eb554ad43,all_off|robots=10|order_rate=400|rep=5,all_off,10,400,5,46,4,success,maximum_horizon,citi_angiebow,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,5137,9759,212.5655172413793,381.6420089546428,15519.0,23.244649518947575,5093,247,44.13223140495868,317713.4099993199,266818.3424995526,50895.06750001438,61.84804555174613,7340.7,162.01671057513366,93174,68520,11.88171724137931,33,False,2326,247,247,0.048497938346750445,103641.0844851845,10364.108448518451,0.049565286059259,0.0,0.0,0.36227370060346503,1.2398401065956028,citi_angiebow,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep006__affde1a5d88a,all_off|robots=10|order_rate=400|rep=6,all_off,10,400,6,47,4,success,maximum_horizon,citi_angiebow,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,3824,7443,158.2344827586207,343.3271443514644,8937.0,21.553243574051407,4085,221,35.586776859504134,317583.0899996718,276203.0924997749,41379.9975000007,83.04997123422379,4747.5,152.9362141365291,74316,55515,11.958262068965517,33,False,1881,221,221,0.054100367197062425,102401.77746373185,10240.177746373185,0.03734310179678634,0.0,0.0,0.3475418410041841,1.1186868686868687,citi_angiebow,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep007__5c4204616b12,all_off|robots=10|order_rate=400|rep=7,all_off,10,400,7,48,4,success,maximum_horizon,citi_angiebow,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,450,1076,18.620689655172413,440.8666666666667,5224.0,14.388571428571428,700,14,5.900826446280992,41380.6949999996,34254.71999999763,7125.975000000095,91.95709999999912,371.25,129.77973950781322,11921,8679,16.11796551724138,31,False,52,14,14,0.02,14478.137106394403,1447.8137106394402,0.031081346770866908,0.0,0.0,0.41333333333333333,1.4645669291338583,citi_angiebow,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep008__ddb3d42d769f,all_off|robots=10|order_rate=400|rep=8,all_off,10,400,8,49,4,success,maximum_horizon,citi_angiebow,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,4404,8421,182.2344827586207,371.66099000908264,7883.0,22.986917603855865,4357,214,37.77685950413223,267516.60749955376,224791.0874997514,42725.520000001205,60.74400715248723,5551.499999999999,159.91216663026427,78863,58190,14.400881034482758,32,False,2019,214,214,0.04911636447096626,88932.16719372988,8893.216719372987,0.04952088922342716,0.0,0.0,0.3680744777475023,1.3656276326874472,citi_angiebow,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep009__5b904433dbfa,all_off|robots=10|order_rate=400|rep=9,all_off,10,400,9,50,4,success,maximum_horizon,codex_local,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,1069,2285,44.234482758620686,411.7352666043031,6342.0,19.888372093023257,1290,52,11.090909090909092,79393.83750005573,66017.49750003748,13376.339999999811,74.26925865299881,2806.7999999999997,150.12432432438786,23084,16995,5.25766724137931,31,False,352,52,52,0.040310077519379844,27245.084424532695,2724.5084424532697,0.039236435583859836,0.0,0.0,0.35827876520112256,1.2197452229299364,codex_local,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
sensitivity_full_kpi_v2_217d072b72e4,allocation_patch_0001_a333e5c09773,sensitivity_simulation_semantics.v1,all_off__r10__arr400__rep010__f0b2551cb385,all_off|robots=10|order_rate=400|rep=10,all_off,10,400,10,51,4,success,maximum_horizon,codex_local,e958497e1ffacbc663322c59aac33833eb245e70,,,580000,87000.0,14992,500,1099,20.689655172413794,386.984,4725.0,18.559701492537314,670,15,5.661157024793388,40714.31249999825,33520.76999999764,7193.542500000105,81.42862499999649,55.94999999999999,146.80357142838892,11618,8497,7.181403448275862,32,False,55,15,15,0.022388059701492536,14324.011912398186,1432.4011912398187,0.03490642168254717,0.0,0.0,0.352,1.1733333333333333,codex_local,sensitivity_full_kpi.v2,True,not_applicable,7d78e89d4d0146476665fb6365d79ce3a766f94c84c4a6e8f3583cfb5629259b,b4113bb51676ca0f2009cf78ebfd012dd376103cd98b0775f7d8843670773476,1f35a64bfcb1,4da9ea23ed6a3b4d42c573cd8b994a414148182d,,,
